Genus,Pvalue,Odds ratio,95% confidence interval lower,95% confidence interval upper
Passeriformes,0.250,4.183,0.213,250.824
Mustelidae,1.000,0.000,0.000,Inf
Colomys,1.000,0.000,0.000,79.990
Crax,1.000,0.000,0.000,10.959
Melogale,1.000,0.000,0.000,10.959
Neophocaena,1.000,0.000,0.000,10.959
Dipodomys,1.000,0.000,0.000,10.959
Cebuella,1.000,0.000,0.000,Inf
Caloperdix,1.000,0.000,0.000,10.959
Turdus,1.000,0.000,0.000,10.959
Nanger,0.549,2.063,0.026,163.889
Platyrinchus,0.549,2.063,0.026,163.889
Tetraophasis,1.000,0.000,0.000,10.959
Eulipotyphla,1.000,0.000,0.000,10.959
Tetraogallus,1.000,0.000,0.000,10.959
Marmosops,1.000,0.000,0.000,10.959
Homotherium,1.000,0.000,0.000,10.959
Artibeus,1.000,0.000,0.000,10.959
Episoriculus,0.549,2.063,0.026,163.889
Tamias,1.000,0.000,0.000,79.990
Perameles,1.000,0.000,0.000,10.959
Phodopus,0.549,2.063,0.026,163.889
Zenaida,1.000,0.000,0.000,10.959
Hyosciurus,1.000,0.000,0.000,10.959
Clyomys,0.549,2.063,0.026,163.889
Pericrocotus,1.000,0.000,0.000,79.990
Pelecanus,1.000,0.000,0.000,10.959
Isothrix,1.000,0.000,0.000,10.959
Tinamus,1.000,0.000,0.000,79.990
Chroicocephalus,1.000,0.000,0.000,10.959
Hemiphaga,1.000,0.000,0.000,10.959
Macrotis,0.549,2.063,0.026,163.889
Antigone,1.000,0.000,0.000,10.959
Aselliscus,0.549,2.063,0.026,163.889
Heterogeomys,1.000,0.000,0.000,Inf
Heimyscus,1.000,0.000,0.000,Inf
Podiceps,1.000,0.000,0.000,79.990
Capromys,1.000,0.000,0.000,79.990
Uranomys,1.000,0.000,0.000,79.990
Plecturocebus,1.000,0.000,0.000,Inf
Buteo,1.000,0.000,0.000,79.990
Dicerorhinus,1.000,0.000,0.000,79.990
Colinus,1.000,0.000,0.000,79.990
Liomys,0.327,Inf,0.053,Inf
Lophophorus,1.000,0.000,0.000,79.990
Tamandua,1.000,0.000,0.000,Inf
Vanellus,1.000,0.000,0.000,79.990
Allenopithecus,1.000,0.000,0.000,Inf
