Genus,Pvalue,Odds ratio,95% confidence interval lower,95% confidence interval upper
Rhipidura,1.000,0.000,0.000,Inf
Smutsia,1.000,0.000,0.000,Inf
Speothos,1.000,0.000,0.000,Inf
Acinonyx,1.000,0.000,0.000,Inf
Epomophorus,1.000,0.000,0.000,Inf
Rhinopithecus,1.000,0.000,0.000,Inf
Kobus,1.000,0.000,0.000,Inf
Genetta,1.000,0.000,0.000,Inf
Megascops,1.000,0.000,0.000,Inf
Lonchura,1.000,0.000,0.000,Inf
Sciurus,1.000,0.000,0.000,Inf
Dasyurus,1.000,0.000,0.000,Inf
Helarctos,1.000,0.000,0.000,Inf
Notamacropus,1.000,0.000,0.000,Inf
Propithecus,1.000,0.000,0.000,Inf
Vicugna,1.000,0.000,0.000,Inf
Elaphodus,1.000,0.000,0.000,Inf
Galago,1.000,0.000,0.000,Inf
Melursus,1.000,0.000,0.000,Inf
Otolemur,1.000,0.000,0.000,Inf
Lutra,1.000,0.000,0.000,Inf
Picumnus,1.000,0.000,0.000,Inf
Syncerus,1.000,0.000,0.000,Inf
Lamprotornis,1.000,0.000,0.000,Inf
Acrobates,1.000,0.000,0.000,Inf
Aegypius,1.000,0.000,0.000,Inf
Agelasticus,1.000,0.000,0.000,Inf
Alle,1.000,0.000,0.000,Inf
Arctodus,1.000,0.000,0.000,Inf
Ducula,1.000,0.000,0.000,Inf
Eopsaltria,1.000,0.000,0.000,Inf
Helopsaltes,1.000,0.000,0.000,Inf
Idionycteris,1.000,0.000,0.000,Inf
Loxia,1.000,0.000,0.000,Inf
Makalata,1.000,0.000,0.000,Inf
Myiopsitta,1.000,0.000,0.000,Inf
Mysateles,1.000,0.000,0.000,Inf
Numenius,1.000,0.000,0.000,Inf
Ochetorhynchus,1.000,0.000,0.000,Inf
Pachyplichas,1.000,0.000,0.000,Inf
Parantechinus,1.000,0.000,0.000,Inf
Pardaliparus,1.000,0.000,0.000,Inf
Parus,1.000,0.000,0.000,Inf
Phascolarctos,1.000,0.000,0.000,Inf
Phlegopsis,1.000,0.000,0.000,Inf
Prinia,1.000,0.000,0.000,Inf
Saccopteryx,1.000,0.000,0.000,Inf
Troglodytes,1.000,0.000,0.000,Inf
Zaedyus,1.000,0.000,0.000,Inf
Budorcas,1.000,0.000,0.000,Inf
Centurio,1.000,0.000,0.000,Inf
Eudorcas,1.000,0.000,0.000,Inf
Macroscelides,1.000,0.000,0.000,Inf
Callosciurus,1.000,0.000,0.000,Inf
Hippotragus,1.000,0.000,0.000,Inf
Nymphicus,1.000,0.000,0.000,Inf
Lobodon,1.000,0.000,0.000,Inf
Tadarida,1.000,0.000,0.000,Inf
Chloris,1.000,0.000,0.000,Inf
Columbiformes,1.000,0.000,0.000,Inf
Alces,1.000,0.000,0.000,Inf
Echinosorex,1.000,0.000,0.000,Inf
Passer,1.000,0.000,0.000,Inf
Nannosciurus,1.000,0.000,0.000,Inf
Carpodacus,1.000,0.000,0.000,Inf
Lanius,1.000,0.000,0.000,Inf
Perodicticus,1.000,0.000,0.000,Inf
Dasyuroides,1.000,0.000,0.000,Inf
Tyto,1.000,0.000,0.000,Inf
Ammotragus,1.000,0.000,0.000,Inf
Acridotheres,1.000,0.000,0.000,Inf
Agapornis,1.000,0.000,0.000,Inf
Aphrodroma,1.000,0.000,0.000,Inf
Bombycilla,1.000,0.000,0.000,Inf
Busarellus,1.000,0.000,0.000,Inf
Calomys,1.000,0.000,0.000,Inf
Calyptophractus,1.000,0.000,0.000,Inf
Cricetus,1.000,0.000,0.000,Inf
Curaeus,1.000,0.000,0.000,Inf
Dermanura,1.000,0.000,0.000,Inf
Dorcopsis,1.000,0.000,0.000,Inf
Florisuga,1.000,0.000,0.000,Inf
Glauconycteris,1.000,0.000,0.000,Inf
Glossophaga,1.000,0.000,0.000,Inf
Haematopus,1.000,0.000,0.000,Inf
Heliornis,1.000,0.000,0.000,Inf
Ichthyaetus,1.000,0.000,0.000,Inf
Lichonycteris,1.000,0.000,0.000,Inf
Mimon,1.000,0.000,0.000,Inf
Notoryctes,1.000,0.000,0.000,Inf
Oreopsar,1.000,0.000,0.000,Inf
Oryzomys,1.000,0.000,0.000,Inf
Otus,1.000,0.000,0.000,Inf
Periparus,1.000,0.000,0.000,Inf
Phaethon,1.000,0.000,0.000,Inf
Pinicola,1.000,0.000,0.000,Inf
Platalea,1.000,0.000,0.000,Inf
Pteronura,1.000,0.000,0.000,Inf
Rhynchonycteris,1.000,0.000,0.000,Inf
Rubrisciurus,1.000,0.000,0.000,Inf
Malacomys,1.000,0.000,0.000,Inf
Mirounga,1.000,0.000,0.000,Inf
Sylviparus,1.000,0.000,0.000,Inf
Viverricula,1.000,0.000,0.000,Inf
Zosterops,1.000,0.000,0.000,Inf
Rhinophylla,1.000,0.000,0.000,Inf
Cynopterus,1.000,0.000,0.000,Inf
Sminthopsis,1.000,0.000,0.000,Inf
Carollia,1.000,0.000,0.000,Inf
Neotragus,1.000,0.000,0.000,Inf
Lipotes,1.000,0.000,0.000,Inf
Stenella,1.000,0.000,0.000,Inf
Leptonychotes,1.000,0.000,0.000,Inf
Eudyptula,1.000,0.000,0.000,Inf
Dremomys,1.000,0.000,0.000,Inf
Sarcophilus,1.000,0.000,0.000,Inf
Amazona,1.000,0.000,0.000,Inf
Nucifraga,1.000,0.000,0.000,Inf
Orcinus,1.000,0.000,0.000,Inf
Choloepus,1.000,0.000,0.000,Inf
Mungotictis,1.000,0.000,0.000,Inf
Arctictis,1.000,0.000,0.000,Inf
Procavia,1.000,0.000,0.000,Inf
Tscherskia,1.000,0.000,0.000,Inf
Enhydra,1.000,0.000,0.000,Inf
Hypsugo,1.000,0.000,0.000,Inf
Schiffornis,1.000,0.000,0.000,Inf
Daubentonia,1.000,0.000,0.000,Inf
Aethomys,1.000,0.000,0.000,Inf
Allocricetulus,1.000,0.000,0.000,Inf
Amblyramphus,1.000,0.000,0.000,Inf
Arabitragus,1.000,0.000,0.000,Inf
Artamus,1.000,0.000,0.000,Inf
Campylorhynchus,1.000,0.000,0.000,Inf
Cerradomys,1.000,0.000,0.000,Inf
Chlorophanes,1.000,0.000,0.000,Inf
Coscoroba,1.000,0.000,0.000,Inf
Eupsittula,1.000,0.000,0.000,Inf
Glaucidium,1.000,0.000,0.000,Inf
Heliodoxa,1.000,0.000,0.000,Inf
Heteromyias,1.000,0.000,0.000,Inf
Hippolais,1.000,0.000,0.000,Inf
Hylocharis,1.000,0.000,0.000,Inf
Hylophylax,1.000,0.000,0.000,Inf
Lewinia,1.000,0.000,0.000,Inf
Melamprosops,1.000,0.000,0.000,Inf
Miopithecus,1.000,0.000,0.000,Inf
Neopsittacus,1.000,0.000,0.000,Inf
Octodontomys,1.000,0.000,0.000,Inf
Patagioenas,1.000,0.000,0.000,Inf
Pelea,1.000,0.000,0.000,Inf
Pitta,1.000,0.000,0.000,Inf
Pogonomys,1.000,0.000,0.000,Inf
Prioniturus,1.000,0.000,0.000,Inf
Pyrrhura,1.000,0.000,0.000,Inf
Rallina,1.000,0.000,0.000,Inf
Styloctenium,1.000,0.000,0.000,Inf
Kogia,1.000,0.000,0.000,Inf
Pardofelis,1.000,0.000,0.000,Inf
Leptailurus,1.000,0.000,0.000,Inf
Nycticorax,1.000,0.000,0.000,Inf
Anoura,1.000,0.000,0.000,Inf
Nectogale,1.000,0.000,0.000,Inf
Dorcatragus,1.000,0.000,0.000,Inf
Megaladapis,1.000,0.000,0.000,Inf
Presbytis,1.000,0.000,0.000,Inf
Vespertilio,1.000,0.000,0.000,Inf
Caperea,1.000,0.000,0.000,Inf
Micrastur,1.000,0.000,0.000,Inf
Saimiri,1.000,0.000,0.000,Inf
Megaceryle,1.000,0.000,0.000,Inf
Taurotragus,1.000,0.000,0.000,Inf
Oreamnos,1.000,0.000,0.000,Inf
Dicrostonyx,1.000,0.000,0.000,Inf
Vampyrum,1.000,0.000,0.000,Inf
Cabassous,1.000,0.000,0.000,Inf
Balaena,1.000,0.000,0.000,Inf
Planigale,1.000,0.000,0.000,Inf
Nyctalus,1.000,0.000,0.000,Inf
Mephitis,1.000,0.000,0.000,Inf
Lonchophylla,1.000,0.000,0.000,Inf
Tachyglossus,1.000,0.000,0.000,Inf
Cystophora,1.000,0.000,0.000,Inf
Cratogeomys,1.000,0.000,0.000,Inf
Dendrohyrax,1.000,0.000,0.000,Inf
Kannabateomys,1.000,0.000,0.000,Inf
Rhabdomys,1.000,0.000,0.000,Inf
Tonatia,1.000,0.000,0.000,Inf
Garrulus,1.000,0.000,0.000,Inf
Montifringilla,1.000,0.000,0.000,Inf
Tangara,1.000,0.000,0.000,Inf
Thalassarche,1.000,0.000,0.000,Inf
Akialoa,1.000,0.000,0.000,Inf
Bucorvus,1.000,0.000,0.000,Inf
Callorhinus,1.000,0.000,0.000,Inf
Ceratopipra,1.000,0.000,0.000,Inf
Chlorodrepanis,1.000,0.000,0.000,Inf
Chrysomus,1.000,0.000,0.000,Inf
Coturnicops,1.000,0.000,0.000,Inf
Cyanistes,1.000,0.000,0.000,Inf
Dendrocygna,1.000,0.000,0.000,Inf
Dupetor,1.000,0.000,0.000,Inf
Eclectus,1.000,0.000,0.000,Inf
Eulabeornis,1.000,0.000,0.000,Inf
Forpus,1.000,0.000,0.000,Inf
Galeopterus,1.000,0.000,0.000,Inf
Haemorhous,1.000,0.000,0.000,Inf
Macroagelaius,1.000,0.000,0.000,Inf
Microrhopias,1.000,0.000,0.000,Inf
Myioborus,1.000,0.000,0.000,Inf
Myrmecophaga,1.000,0.000,0.000,Inf
Phalanger,1.000,0.000,0.000,Inf
Pseudonestor,1.000,0.000,0.000,Inf
Pyrrhula,1.000,0.000,0.000,Inf
Ramphotrigon,1.000,0.000,0.000,Inf
Rhea,1.000,0.000,0.000,Inf
Rhynchopsitta,1.000,0.000,0.000,Inf
Strigiformes,1.000,0.000,0.000,Inf
Uria,1.000,0.000,0.000,Inf
Zentrygon,1.000,0.000,0.000,Inf
Spalacopus,1.000,0.000,0.000,Inf
Dromiciops,1.000,0.000,0.000,Inf
Pseudoryx,1.000,0.000,0.000,Inf
Lagenorhynchus,1.000,0.000,0.000,Inf
Thomasomys,1.000,0.000,0.000,Inf
Neotetracus,1.000,0.000,0.000,Inf
Alouatta,1.000,0.000,0.000,Inf
Zelotomys,1.000,0.000,0.000,Inf
Vireo,1.000,0.000,0.000,Inf
Phocarctos,1.000,0.000,0.000,Inf
Chaetophractus,1.000,0.000,0.000,Inf
Prionodon,1.000,0.000,0.000,Inf
Soricinae,1.000,0.000,0.000,Inf
Neovison,1.000,0.000,0.000,Inf
Brachyphylla,1.000,0.000,0.000,Inf
Palaeopropithecus,1.000,0.000,0.000,Inf
Philander,1.000,0.000,0.000,Inf
Thraupis,1.000,0.000,0.000,Inf
Veniliornis,1.000,0.000,0.000,Inf
Sturnira,1.000,0.000,0.000,Inf
Lasiopodomys,1.000,0.000,0.000,Inf
Tringa,1.000,0.000,0.000,Inf
Grampus,1.000,0.000,0.000,Inf
Prosciurillus,1.000,0.000,0.000,Inf
Pseudocheirus,1.000,0.000,0.000,Inf
Cryptonanus,1.000,0.000,0.000,Inf
Oreotragus,1.000,0.000,0.000,Inf
Callospermophilus,1.000,0.000,0.000,Inf
Nycticebus,1.000,0.000,0.000,Inf
Rangifer,1.000,0.000,0.000,Inf
Myiarchus,1.000,0.000,0.000,Inf
Ovibos,1.000,0.000,0.000,Inf
Procnias,1.000,0.000,0.000,Inf
Sundasciurus,1.000,0.000,0.000,Inf
Penelope,1.000,0.000,0.000,Inf
Neacomys,1.000,0.000,0.000,Inf
Toromys,1.000,0.000,0.000,Inf
Micronycteris,1.000,0.000,0.000,Inf
Hydrurga,1.000,0.000,0.000,Inf
Damaliscus,1.000,0.000,0.000,Inf
Eudromia,1.000,0.000,0.000,Inf
Hoolock,1.000,0.000,0.000,Inf
Poecile,1.000,0.000,0.000,Inf
Andropadus,1.000,0.000,0.000,Inf
Bucanetes,1.000,0.000,0.000,Inf
Platyrrhinus,1.000,0.000,0.000,Inf
Scapanulus,1.000,0.000,0.000,Inf
Muridae,1.000,0.000,0.000,Inf
Brachyramphus,1.000,0.000,0.000,Inf
Ixos,1.000,0.000,0.000,Inf
Cathartes,1.000,0.000,0.000,Inf
Pantholops,1.000,0.000,0.000,Inf
Psammomys,1.000,0.000,0.000,Inf
Setophaga,1.000,0.000,0.000,Inf
Anomalopteryx,1.000,0.000,0.000,Inf
Bycanistes,1.000,0.000,0.000,Inf
Callicebus,1.000,0.000,0.000,Inf
Calliope,1.000,0.000,0.000,Inf
Ceryle,1.000,0.000,0.000,Inf
Chionis,1.000,0.000,0.000,Inf
Chironectes,1.000,0.000,0.000,Inf
Chloroceryle,1.000,0.000,0.000,Inf
Chloropsis,1.000,0.000,0.000,Inf
Chrysolampis,1.000,0.000,0.000,Inf
Cnemotriccus,1.000,0.000,0.000,Inf
Dasypterus,1.000,0.000,0.000,Inf
Dendrocincla,1.000,0.000,0.000,Inf
Dromaius,1.000,0.000,0.000,Inf
Dryocopus,1.000,0.000,0.000,Inf
Euphractus,1.000,0.000,0.000,Inf
Garrulax,1.000,0.000,0.000,Inf
Geococcyx,1.000,0.000,0.000,Inf
Gnorimopsar,1.000,0.000,0.000,Inf
Gorsachius,1.000,0.000,0.000,Inf
Gracilinanus,1.000,0.000,0.000,Inf
Heliomaster,1.000,0.000,0.000,Inf
Larvivora,1.000,0.000,0.000,Inf
Lonchothrix,1.000,0.000,0.000,Inf
Lophophanes,1.000,0.000,0.000,Inf
Macroglossus,1.000,0.000,0.000,Inf
Menura,1.000,0.000,0.000,Inf
Mesocapromys,1.000,0.000,0.000,Inf
Molothrus,1.000,0.000,0.000,Inf
Ommatophoca,1.000,0.000,0.000,Inf
Onychognathus,1.000,0.000,0.000,Inf
Peropteryx,1.000,0.000,0.000,Inf
Phalacrocorax,1.000,0.000,0.000,Inf
Pheugopedius,1.000,0.000,0.000,Inf
Pica,1.000,0.000,0.000,Inf
Pipra,1.000,0.000,0.000,Inf
Polysticta,1.000,0.000,0.000,Inf
Pterocles,1.000,0.000,0.000,Inf
Ramphastos,1.000,0.000,0.000,Inf
Rhabdotorrhinus,1.000,0.000,0.000,Inf
Selenidera,1.000,0.000,0.000,Inf
Spodiopsar,1.000,0.000,0.000,Inf
Stachyridopsis,1.000,0.000,0.000,Inf
Threskiornis,1.000,0.000,0.000,Inf
Tupaiidae,1.000,0.000,0.000,Inf
Urocissa,1.000,0.000,0.000,Inf
Xenothrix,1.000,0.000,0.000,Inf
Yuhina,1.000,0.000,0.000,Inf
Tachyoryctes,1.000,0.000,0.000,Inf
Feresa,1.000,0.000,0.000,Inf
Octodon,1.000,0.000,0.000,Inf
Blarina,1.000,0.000,0.000,Inf
Regulus,1.000,0.000,0.000,Inf
Coelodonta,1.000,0.000,0.000,Inf
Progne,1.000,0.000,0.000,Inf
Nasalis,1.000,0.000,0.000,Inf
Chlamyphorus,1.000,0.000,0.000,Inf
Amazilia,1.000,0.000,0.000,Inf
Megaderma,1.000,0.000,0.000,Inf
Poodytes,1.000,0.000,0.000,Inf
Eschrichtius,1.000,0.000,0.000,Inf
Cacajao,1.000,0.000,0.000,Inf
Archilochus,1.000,0.000,0.000,Inf
Colaptes,1.000,0.000,0.000,Inf
Piranga,1.000,0.000,0.000,Inf
Avahi,1.000,0.000,0.000,Inf
Ailuropoda,1.000,0.000,0.000,Inf
Crithagra,1.000,0.000,0.000,Inf
Geophaps,1.000,0.000,0.000,Inf
Acomys,1.000,0.000,0.000,Inf
Redunca,1.000,0.000,0.000,Inf
Ceratotherium,1.000,0.000,0.000,Inf
Megaerops,1.000,0.000,0.000,Inf
Monachus,1.000,0.000,0.000,Inf
Mystacina,1.000,0.000,0.000,Inf
Tetracerus,1.000,0.000,0.000,Inf
Lophostoma,1.000,0.000,0.000,Inf
Trichechus,1.000,0.000,0.000,Inf
Aegithalos,1.000,0.000,0.000,Inf
Euryoryzomys,1.000,0.000,0.000,Inf
Nyctibius,1.000,0.000,0.000,Inf
Pontoporia,1.000,0.000,0.000,Inf
Xiphorhynchus,1.000,0.000,0.000,Inf
Malurus,1.000,0.000,0.000,Inf
Stylodipus,1.000,0.000,0.000,Inf
Melanerpes,1.000,0.000,0.000,Inf
Rhynchocyon,1.000,0.000,0.000,Inf
Cardinalis,1.000,0.000,0.000,Inf
Todiramphus,1.000,0.000,0.000,Inf
Terpsiphone,1.000,0.000,0.000,Inf
Cynogale,1.000,0.000,0.000,Inf
Dendrolagus,1.000,0.000,0.000,Inf
Monodon,1.000,0.000,0.000,Inf
Okapia,1.000,0.000,0.000,Inf
Trochalopteron,1.000,0.000,0.000,Inf
Allactaga,1.000,0.000,0.000,Inf
Ficedula,1.000,0.000,0.000,Inf
Trichoglossus,1.000,0.000,0.000,Inf
Isthmomys,1.000,0.000,0.000,Inf
Oceanodroma,1.000,0.000,0.000,Inf
Pachycephala,1.000,0.000,0.000,Inf
Peroryctes,1.000,0.000,0.000,Inf
Elaphurus,1.000,0.000,0.000,Inf
Hesperoptenus,1.000,0.000,0.000,Inf
Peucaea,1.000,0.000,0.000,Inf
Priodontes,1.000,0.000,0.000,Inf
Pyrrhocorax,1.000,0.000,0.000,Inf
Saltator,1.000,0.000,0.000,Inf
Uroderma,1.000,0.000,0.000,Inf
Acrocephalus,1.000,0.000,0.000,Inf
Aegithina,1.000,0.000,0.000,Inf
Arremonops,1.000,0.000,0.000,Inf
Basileuterus,1.000,0.000,0.000,Inf
Caloenas,1.000,0.000,0.000,Inf
Campethera,1.000,0.000,0.000,Inf
Caprimulgiformes,1.000,0.000,0.000,Inf
Carterodon,1.000,0.000,0.000,Inf
Cassistrellus,1.000,0.000,0.000,Inf
Chordeiles,1.000,0.000,0.000,Inf
Chrotopterus,1.000,0.000,0.000,Inf
Chrysococcyx,1.000,0.000,0.000,Inf
Circus,1.000,0.000,0.000,Inf
Climacteris,1.000,0.000,0.000,Inf
Cnipodectes,1.000,0.000,0.000,Inf
Coloeus,1.000,0.000,0.000,Inf
Columbina,1.000,0.000,0.000,Inf
Copsychus,1.000,0.000,0.000,Inf
Cryptotis,1.000,0.000,0.000,Inf
Cyanocorax,1.000,0.000,0.000,Inf
Cyanopica,1.000,0.000,0.000,Inf
Cyanoptila,1.000,0.000,0.000,Inf
Epthianura,1.000,0.000,0.000,Inf
Euphagus,1.000,0.000,0.000,Inf
Gardnerycteris,1.000,0.000,0.000,Inf
Gyps,1.000,0.000,0.000,Inf
Henicorhina,1.000,0.000,0.000,Inf
Lagenodelphis,1.000,0.000,0.000,Inf
Laniarius,1.000,0.000,0.000,Inf
Laniocera,1.000,0.000,0.000,Inf
Loxops,1.000,0.000,0.000,Inf
Machlolophus,1.000,0.000,0.000,Inf
Melanitta,1.000,0.000,0.000,Inf
Metriopelia,1.000,0.000,0.000,Inf
Microcerculus,1.000,0.000,0.000,Inf
Moschiola,1.000,0.000,0.000,Inf
Nesoptilotis,1.000,0.000,0.000,Inf
Nyctyornis,1.000,0.000,0.000,Inf
Onychogalea,1.000,0.000,0.000,Inf
Onychostruthus,1.000,0.000,0.000,Inf
Pachyramphus,1.000,0.000,0.000,Inf
Pelecanoides,1.000,0.000,0.000,Inf
Peponocephala,1.000,0.000,0.000,Inf
Phapitreron,1.000,0.000,0.000,Inf
Philesturnus,1.000,0.000,0.000,Inf
Phragmacia,1.000,0.000,0.000,Inf
Piculus,1.000,0.000,0.000,Inf
Pionus,1.000,0.000,0.000,Inf
Platysteira,1.000,0.000,0.000,Inf
Poephila,1.000,0.000,0.000,Inf
Pomatorhinus,1.000,0.000,0.000,Inf
Poospiza,1.000,0.000,0.000,Inf
Porzana,1.000,0.000,0.000,Inf
Prosopeia,1.000,0.000,0.000,Inf
Psittacara,1.000,0.000,0.000,Inf
Psophia,1.000,0.000,0.000,Inf
Ramphocelus,1.000,0.000,0.000,Inf
Reinwardtipicus,1.000,0.000,0.000,Inf
Rhizothera,1.000,0.000,0.000,Inf
Rupicola,1.000,0.000,0.000,Inf
Strigocuscus,1.000,0.000,0.000,Inf
Thalasseus,1.000,0.000,0.000,Inf
Thinocorus,1.000,0.000,0.000,Inf
Tremarctos,1.000,0.000,0.000,Inf
Vespadelus,1.000,0.000,0.000,Inf
Sciuridae,1.000,0.000,0.000,Inf
Oecomys,1.000,0.000,0.000,Inf
Bubulcus,1.000,0.000,0.000,Inf
Vombatus,1.000,0.000,0.000,Inf
Berylmys,1.000,0.000,0.000,Inf
Acrocodia,1.000,0.000,0.000,Inf
Erythrocebus,1.000,0.000,0.000,Inf
Nomascus,1.000,0.000,0.000,Inf
Taxidea,1.000,0.000,0.000,Inf
Nandinia,1.000,0.000,0.000,Inf
Papio,1.000,0.000,0.000,Inf
Hesperiphona,1.000,0.000,0.000,Inf
Dicrurus,1.000,0.000,0.000,Inf
Diceros,1.000,0.000,0.000,Inf
Saiga,1.000,0.000,0.000,Inf
Lemniscomys,1.000,0.000,0.000,Inf
Tarsipes,1.000,0.000,0.000,Inf
Chlorocebus,1.000,0.000,0.000,Inf
Antilocapra,1.000,0.000,0.000,Inf
Addax,1.000,0.000,0.000,Inf
Hyperoodon,1.000,0.000,0.000,Inf
Dipus,1.000,0.000,0.000,Inf
Petaurus,1.000,0.000,0.000,Inf
Euchoreutes,1.000,0.000,0.000,Inf
Procolobus,1.000,0.000,0.000,Inf
Proedromys,1.000,0.000,0.000,Inf
Hirundinea,1.000,0.000,0.000,Inf
Strix,1.000,0.000,0.000,Inf
Physeter,1.000,0.000,0.000,Inf
Ateles,1.000,0.000,0.000,Inf
Steatomys,1.000,0.000,0.000,Inf
Cyanopsitta,1.000,0.000,0.000,Inf
Paramurexia,1.000,0.000,0.000,Inf
Leontopithecus,1.000,0.000,0.000,Inf
Inia,1.000,0.000,0.000,Inf
Paramelomys,1.000,0.000,0.000,Inf
Upupa,1.000,0.000,0.000,Inf
Myrmecobius,1.000,0.000,0.000,Inf
Simias,1.000,0.000,0.000,Inf
Willisornis,1.000,0.000,0.000,Inf
Theropithecus,1.000,0.000,0.000,Inf
Aepyceros,1.000,0.000,0.000,Inf
Berardius,1.000,0.000,0.000,Inf
Alcippe,1.000,0.000,0.000,Inf
Automolus,1.000,0.000,0.000,Inf
Hyemoschus,1.000,0.000,0.000,Inf
Limosa,1.000,0.000,0.000,Inf
Nycticeinops,1.000,0.000,0.000,Inf
Pseudoleistes,1.000,0.000,0.000,Inf
Przewalskium,1.000,0.000,0.000,Inf
Ectophylla,1.000,0.000,0.000,Inf
Attagis,1.000,0.000,0.000,Inf
Chiroderma,1.000,0.000,0.000,Inf
Scotophilus,1.000,0.000,0.000,Inf
Turnagra,1.000,0.000,0.000,Inf
Emballonura,1.000,0.000,0.000,Inf
Lepidocolaptes,1.000,0.000,0.000,Inf
Taphozous,1.000,0.000,0.000,Inf
Boselaphus,1.000,0.000,0.000,Inf
Brachyteles,1.000,0.000,0.000,Inf
Geothlypis,1.000,0.000,0.000,Inf
Jynx,1.000,0.000,0.000,Inf
Leucochloris,1.000,0.000,0.000,Inf
Mammut,1.000,0.000,0.000,Inf
Dendrocopos,1.000,0.000,0.000,Inf
Petauroides,1.000,0.000,0.000,Inf
Prosthemadera,1.000,0.000,0.000,Inf
Sylvicapra,1.000,0.000,0.000,Inf
Viverra,1.000,0.000,0.000,Inf
Heliothryx,1.000,0.000,0.000,Inf
Lathrotriccus,1.000,0.000,0.000,Inf
Megalonychidae,1.000,0.000,0.000,Inf
Olallamys,1.000,0.000,0.000,Inf
Piciformes,1.000,0.000,0.000,Inf
Synallaxis,1.000,0.000,0.000,Inf
Agelaioides,1.000,0.000,0.000,Inf
Arremon,1.000,0.000,0.000,Inf
Eurystomus,1.000,0.000,0.000,Inf
Neophoca,1.000,0.000,0.000,Inf
Nestor,1.000,0.000,0.000,Inf
Ourebia,1.000,0.000,0.000,Inf
Ploceus,1.000,0.000,0.000,Inf
Pteroglossus,1.000,0.000,0.000,Inf
Stachyris,1.000,0.000,0.000,Inf
Chamaeza,1.000,0.000,0.000,Inf
Charadriiformes,1.000,0.000,0.000,Inf
Desmodus,1.000,0.000,0.000,Inf
Microeca,1.000,0.000,0.000,Inf
Necromys,1.000,0.000,0.000,Inf
Scotoecus,1.000,0.000,0.000,Inf
Suidae,1.000,0.000,0.000,Inf
Thectocercus,1.000,0.000,0.000,Inf
Tregellasia,1.000,0.000,0.000,Inf
Aegotheles,1.000,0.000,0.000,Inf
Ailurops,1.000,0.000,0.000,Inf
Alca,1.000,0.000,0.000,Inf
Amazonetta,1.000,0.000,0.000,Inf
Ammodramus,1.000,0.000,0.000,Inf
Ammomanes,1.000,0.000,0.000,Inf
Anhima,1.000,0.000,0.000,Inf
Anous,1.000,0.000,0.000,Inf
Anthracoceros,1.000,0.000,0.000,Inf
Anthracothorax,1.000,0.000,0.000,Inf
Arachnothera,1.000,0.000,0.000,Inf
Arielulus,1.000,0.000,0.000,Inf
Atelornis,1.000,0.000,0.000,Inf
Bassaricyon,1.000,0.000,0.000,Inf
Bootherium,1.000,0.000,0.000,Inf
Brachygalba,1.000,0.000,0.000,Inf
Bucephala,1.000,0.000,0.000,Inf
Bunomys,1.000,0.000,0.000,Inf
Buteogallus,1.000,0.000,0.000,Inf
Calamanthus,1.000,0.000,0.000,Inf
Callonetta,1.000,0.000,0.000,Inf
Campylopterus,1.000,0.000,0.000,Inf
Caprinae,1.000,0.000,0.000,Inf
Capsiempis,1.000,0.000,0.000,Inf
Catharus,1.000,0.000,0.000,Inf
Cercartetus,1.000,0.000,0.000,Inf
Cercotrichas,1.000,0.000,0.000,Inf
Chlorocichla,1.000,0.000,0.000,Inf
Chlorostilbon,1.000,0.000,0.000,Inf
Claravis,1.000,0.000,0.000,Inf
Coccyzus,1.000,0.000,0.000,Inf
Coenocorypha,1.000,0.000,0.000,Inf
Coereba,1.000,0.000,0.000,Inf
Colibri,1.000,0.000,0.000,Inf
Contopus,1.000,0.000,0.000,Inf
Coracina,1.000,0.000,0.000,Inf
Corythaeola,1.000,0.000,0.000,Inf
Crex,1.000,0.000,0.000,Inf
Culicicapa,1.000,0.000,0.000,Inf
Cyanocompsa,1.000,0.000,0.000,Inf
Cyclarhis,1.000,0.000,0.000,Inf
Cyornis,1.000,0.000,0.000,Inf
Diaemus,1.000,0.000,0.000,Inf
Edolisoma,1.000,0.000,0.000,Inf
Emberizoides,1.000,0.000,0.000,Inf
Enicognathus,1.000,0.000,0.000,Inf
Eolophus,1.000,0.000,0.000,Inf
Erethizon,1.000,0.000,0.000,Inf
Eudynamys,1.000,0.000,0.000,Inf
Eulidia,1.000,0.000,0.000,Inf
Fregata,1.000,0.000,0.000,Inf
Garrodia,1.000,0.000,0.000,Inf
Geopelia,1.000,0.000,0.000,Inf
Glyphonycteris,1.000,0.000,0.000,Inf
Gracula,1.000,0.000,0.000,Inf
Graphiurus,1.000,0.000,0.000,Inf
Gymnopithys,1.000,0.000,0.000,Inf
Gymnoris,1.000,0.000,0.000,Inf
Haliaeetus,1.000,0.000,0.000,Inf
Himatione,1.000,0.000,0.000,Inf
Hippidion,1.000,0.000,0.000,Inf
Hoplomys,1.000,0.000,0.000,Inf
Hydromys,1.000,0.000,0.000,Inf
Hypocnemis,1.000,0.000,0.000,Inf
Indicator,1.000,0.000,0.000,Inf
Lagomorpha,1.000,0.000,0.000,Inf
Lasionycteris,1.000,0.000,0.000,Inf
Lasiorhinus,1.000,0.000,0.000,Inf
Lionycteris,1.000,0.000,0.000,Inf
Lophonetta,1.000,0.000,0.000,Inf
Lophotriorchis,1.000,0.000,0.000,Inf
Lymnocryptes,1.000,0.000,0.000,Inf
Macropygia,1.000,0.000,0.000,Inf
Macrotus,1.000,0.000,0.000,Inf
Melloria,1.000,0.000,0.000,Inf
