Genus,Env_0002b,Env_0014,Env_0015,Env_0018,Env_0020,Env_0033,Env_0055,Env_0061,Env_0063,Env_0087,Env_0088,Env_0090,Env_0096,Env_0101,Env_0126,Env_0138,Env_0213,Env_0221,Env_0262,Env_0275,Env_0313,Env_0346,Env_0354,Env_0398,Env_0400,Env_0552,Env_0576,Env_0579,Env_0583,Env_0584,Env_0585,Env_0660,Env_0664,Env_0682,Env_0686,Env_0717,Env_0719,Env_0742,Env_0746,Env_0748,Env_0790,Env_0802,Env_0806,Env_0807,Env_0808,Env_0809,Env_0813,Env_0815,Env_0816,Env_0817,Env_0818,Env_0820,Env_0821,Env_0828,Env_0829,Env_0830,Env_0862,Env_0865,Env_0868,Env_0516,Env_0517,Env_0518,Env_0519,Env_0520,Env_0521,Env_0522,Env_0523,Env_0524,Env_0525,Env_0526,Env_0527,Env_0528,Env_0529,Env_0530,Env_0531,Env_0532,Env_0533,Env_0534,Env_0535,Env_0536,Env_0537,Env_0538,Env_0539,Env_0540,Env_0541,Env_0542,Env_0543,Env_0544,Env_0545,Env_0546,Env_0547,Env_0548,Env_0549,Env_0550,Env_0551,Env_0553,Env_0554,Env_0555,Env_0556,Env_0557,Env_0558,Env_0559,Env_0560,Env_0561,Env_0562,Env_0563,Env_0564,Env_0565,Env_0566,Env_0567,Env_0568,Env_0569,Env_0570,Env_0571,Env_0572,Env_0573,Env_0574,Env_0575,Env_0577,Env_0578,Env_0580,Env_0581,Env_0582,Env_0617,Env_0619,Env_0620,Env_0642,Env_0643,Env_0657,Env_0674,Env_0697,Env_0701,Env_0705,Env_0707,Env_0708,Env_0712,Env_0714,Env_0715,Env_0716,Env_0720,Env_0749,Env_0751,Env_0753,Env_0754,Env_0756,Env_0759,Env_0768,Env_0770,Env_0788,Env_0789,Env_0798,Env_0799,Env_0800,Env_0801,Env_0839,Env_0842,Env_0847,Env_0856,Env_0858,Env_0873,Env_0875,Env_0877,Env_0879,Env_0882,Env_0885,Env_0887,Env_0889,Env_0893,Env_0895,Env_0907,Env_0909
Canis,2,6,0,6,0,0,85,14,0,402,0,2,5,8,0,2,0,25,0,0,0,6,0,0,0,94,836,118,182,1594,53,0,0,0,6,0,2,0,0,6,0,0,24,66,6,78,0,0,11,13,14,0,0,3,2,21,0,0,20,44,1,257,291,2715,3501,316,302,141,221,66,1821,5,3,21,4,28,10,36,14,46,8,20,40,14,48,24,8,8,44,23,0,1,0,11,0,7,1,3,16,13,8,30,9,275,14,86,0,40,15,1,3,0,0,1,10,1,6,16,41,184,449,887,110,0,194,4535,0,0,6,0,0,121,0,22,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,41,1,2,7,0,0,12,0,2
Amaurornis,3,38,0,5,0,215,589,10,1,26,5,8,3,10,200,1,16,59,0,0,0,0,0,1,0,187,273,23,24,3,2,0,0,0,0,0,0,0,0,0,0,0,14,23,10,21,0,0,2,1,1,1,1,0,7,1,1,0,52,0,1,29,22,77,20,266,27,20,24,41,66,9,66,49,86,15,15,168,28,22,12,46,1754,38,52,68,57,12,117,14,0,2,7,19,4,31,4,3,13,4,8,35,111,174,18,15,6,37,21,282,145,25,17,36,51,169,161,35,2,13,12,1,8,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,1,19,36,1,0,21,0,0
Phasianus,0,1,4,2,0,6,14,0,0,22,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,4,68,84,618,27,48,0,0,0,0,0,0,0,0,0,0,0,6,17,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,10,2,260,772,306,1592,638,376,138,162,113,319,2,160,91,61,8,22,74,165,94,61,87,393,235,384,269,367,15,715,1,0,2,6,0,1,5,2,1,348,24,174,35,664,320,309,23,4,45,7,5,65,6,0,4,52,40,34,50,12,47,113,96,194,2,0,554,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,144,0,0,92,0,0
Bos,25,16,0,127,0,31,179,309,45,169,3,9,15,84,7021,212,1367,99,26922,48,8,5,2,14,24,86,126,7,12,14,29,1,0,0,0,0,2,22,0,0,0,0,12,64,1,20,2,0,28,19,77,6,25,0,2,47,0,0,67,3,0,17,10,96,56,23,48,5,156,12,63,0,2,5,1,5,0,12,1,4,1,18,8,0,12,14,1,0,8,28,0,9,4,4,0,7,1,23,0,10,4,3,13,23,3,47,13,18,1,11,6,1,0,1,12,5,9,3,21,10,40,17,1,1,0,56,1,0,0,5,104,30,0,0,4,2,0,0,0,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44,0,8,12,31,0,0,7,0,0
Columba,8,18,0,16,0,342,3087,196,9,83,0,6,16,102,16,18,0,43,0,0,0,0,0,0,0,16,18,39,118,3,10,2,0,0,0,0,2,7,0,0,0,0,28,23,7,2,2,0,6,4,6,0,0,2,0,9,0,0,14,0,1,35,7,30,4,4316,20,267,46,21,34,1,17,842,9,2,4,257,47,35,10,111,70,13,91,689,178,19,140,5,9,1,3,12,2,10,4,11,198,3,128,155,123,357,39,15,9,376,411,72,2558,432,144,425,1508,763,554,251,21,30,24,2,3,0,0,89,0,0,10,0,0,0,20,37,92,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,1,10,0,44,0,0,5,0,0
Microryzomys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,204,10,10,71,113,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,1,0,0,1263,34,1,23,22,109,56,192,269,12,21,132,115,2,68,37,15,2,107,39,152,29,46,47,11,20,21,63,33,10,39,98,9,15,223,159,45,49,11,124,8,25,64,29,81,22,25,102,5,20,20,23,111,9,2,11,94,53,64,8,179,14,79,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rupicapra,0,0,0,0,0,0,4,0,0,0,0,0,0,3,6,1,0,1,0,0,0,0,0,0,0,36,28,35,33,33,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,1,13,9,16,26,17,9,26,44,65,37,13,64,123,99,13,77,25,184,15,9,42,92,28,105,10,70,14,25,41,114,39,150,200,18,86,21,33,95,6,72,27,77,42,34,26,30,39,6,30,34,17,77,8,99,12,29,25,32,32,99,14,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattus,4,5,0,4,0,3,8,3,0,4,0,0,2,17,210,19,24,14,0,9,0,0,0,0,0,40,76,239,17,89,39,0,0,0,2,0,62,0,0,0,0,0,584,206,6,5,2,19,23,5,5,3,12,0,5,71,0,0,23,8,0,67,24,104,53,305,2345,10,1419,8,13,0,11,8,3,2,4,69,12,240,14,9,17,20,490,18,255,23,76,80,20,1,0,5,0,575,2,32,16,26,318,3,8,23,9,15,4,11,12,40,67,15,3,15,2352,188,95,20,17,6,22,52,10,0,0,0,1,2,0,0,4,3,5,2,2,0,2,3,0,31,16,0,0,0,4,9,30,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,322,0,0,0,0,0,5,0,0
Spilopelia,0,0,0,0,0,16,2,6,2,32,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,386,19,47,78,11,15,0,0,0,0,0,2,0,0,0,0,0,13,21,1,36,0,0,0,0,0,0,0,0,0,2,0,0,1341,2,0,118,5,147,1,292,37,22,193,82,228,43,65,354,23,34,24,1595,36,49,38,73,326,86,216,254,153,12,639,21,2,1,0,7,0,3,2,2,489,1,41,101,971,283,377,90,67,20,1,0,41,10,0,5,42,8,25,3,1,80,19,14,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,52,0,0,24,0,0
Casuarius,12,5,0,8,1,3418,1328,32,4,45,2,6,3,21,181,8,29,67,0,0,0,1,0,2,0,44,194,28,60,5,18,0,0,0,0,0,0,0,0,0,0,0,6,9,14,1,0,0,1,0,0,0,0,0,1,0,3,0,20,1,0,24,14,55,33,257,23,21,18,11,23,4,56,27,12,1,5,91,17,16,3,16,29,15,21,65,31,8,102,9,0,3,18,14,3,8,0,6,18,0,5,21,39,66,12,19,2,22,41,181,338,76,27,84,118,1521,1486,87,4,3,16,6,66,0,0,0,0,0,0,0,0,2,2,3,2,3,0,1,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,29,27,4,9,87,2,0,61,0,0
